key,val
qzbiibgkruxtepifiwsb,17.058
zxpgyszqdfwljsuohbst,59.172
ohjabbiiqvcrgkcslest,89.607
qyoigbhjpkutqzdeyote,76.211
mqxktrisazumgihyvtxw,41.056
ulcimesjokeosnkfzpnc,73.256
uxfsvlcuegrrysdbiryc,7.381
thzhfyzoasyrprzfovge,59.785
vhbddrcptkpofgflmaqj,56.692
ewodzaoeomaxpeyeiphf,34.348
ymbhhmehtisjxrixpzoo,83.622
mzjwpyitnmrcqbganhqg,81.493
akkqkqpztukoggmzojjn,56.031
tszbhxrzmwbehblidubb,39.526
hmufyotfyhqykzeioydu,60.773
epcdvxhrhvtaayfaylox,38.203
cwiecsyvtbbxowyjuxck,36.555
suclvjqshmioomhugcxn,40.357
wmszdtjyvkmdlqpdpgny,44.893
jyvkcoqoruvcsyygehvf,82.044
shqlxpbyfofwvdzjrzbr,73.559
gnnekshlawiaxgoezgzh,3.697
jnbnapqzhyogvweujxtd,88.927
ilrurelztduszbggoenk,31.353
oaomwxizcgfnyjjzcjhl,87.097
ibuztqtnrvhhpiznzzqh,31.491
txpsbexrktmkcfqclskq,84.642
rbbsltuopovhkwakkiqa,21.823
mgyabfavselbcklxekjq,56.492
azazdelmreifwsnbbczk,17.121
epmlhnydmgwlwfmtwvtj,80.983
aeocljkrqbbwfmmacpwn,70.163
jcjdsnrzkzbetksjwirb,66.982
smqhjhpvbarxtqpnuntx,34.618
yvzkjrghzwonfxhcfavd,13.882
usztbplbzpbwunptvkzl,86.023
opyjbngizqqcvljxeaml,61.821
taqnwqqelxqpkbsepkil,65.674
uuxroznekmesdkcwfqxs,19.232
glohseeyfdkygiclwwqc,81.365
debyjtwmonainkdhlkoc,98.447
litbpcaditxzoqwzoxzj,43.089
dshpbdpqklkxcphjqatv,37.633
heyzdwlbseydawfhriyi,96.916
uofmwqthvgpifoeibvzh,94.962
yodqdhmsgzjnyezwkhpy,50.595
ssrfmimsrdoycajvtndd,89.466
htbzkwmqvmleceolhpof,80.012
lilutlmhkpcvkyenelkp,1.46
sdciqzckuxhsubwcltsn,41.887
igxnydiafbatcsdrbbxh,53.56
lvyasoyeqxaordlexjwc,73.303
myzbjxvqbdpkhgftmtmh,77.675
fsgbeovcxywwtxwjiuwn,79.636
gjnsrpzdqkdkzrkjuvhn,54.623
epprcvvveimtyneibriw,28.903
leuxnktmauswvplaurco,81.852
egflxktjhpyobncgqztk,93.278
axiaibumfzlctebbgegd,86.192
wkowfwnlnnyebjlobiea,83.763
tdfsxbngespcchgqvdmk,93.731
ponpfcmdcmvqbijvrfii,97.313
dwcbsdxdnglxyvlrfoco,71.279
xkuupmpnuvstyvnflpot,70.135
tredbnsxznujfxwvqdlg,15.053
bvsqhcuflursqgpqtukl,27.757
vunwbzntprntxohmulmq,34.186
cselolcmbmjilihfxrit,38.088
fkqjldshucxsebxirryi,75.342
rbovnwkqarkojbzrsxsw,20.375
czxmkkikzfqsdvprhyzz,83.427
xyfjjyxoelyfzkwbdgjm,32.315
rutevlsozcacfnotyrdl,31.377
lajpxwqbaswkfvpijbou,25.321
zgwgioirytwmoomhhrpf,11.2
hscrcbyljqeiwfuiqlzi,22.944
rgqektrgthagywozfivd,3.241
wkyfrtesjurrvcbxrrge,75.608
ebewecoatlrpejjduomb,77.808
jqjqhehwkvgabdwrjutr,66.893
joozznnxsducaecnbuls,15.379
bwggojsojpfiqifgnhre,96.789
xictgyeaotmxmihntoqv,95.051
pwqabbxddwmszhastxar,24.032
fcrsqccbesgwyscpsdcu,58.835
kzienrypswjvutlccfwr,76.605
gpuxvgbxcufnykerygte,45.153
eazadriisaciazueklzn,79.242
vxxdyxsalbmkqjdsnvuh,80.183
ndcytuercadzojvbfwxb,40.108
ptaurwjqsyqptwifzdau,65.347
lefcqfglihyhvoxhjrml,51.909
ynlklcffbmitdezgefeb,94.365
upokrjxlzblfpeuaizsb,19.642
qauodtaugshtjqngxtde,26.664
xxocwhenmxcdfxvtdahz,95.603
hgxdprvvphbwaftkpsoa,49.916
nkruebjphrhhdejalvxn,43.302
xbunzfqfwhlenphngyyl,46.098
iijeukabrqhcmaclywda,44.516
wvunyijprcjhpnpixepz,72.42
ulercoqtujmpdiejbzlu,47.893
qbsvkxmjguymxxolsclq,73.077
daizpqpsasuhyjjfgubf,26.972
ynmejpnxshvcqqgxwbkq,37.535
rngiygqhhmzzyfpfjbnv,78.837
iwkmvjsznicswrgsmize,15.349
zprjhcdbzsjzwpmnlitt,67.347
yvqtsshqupkhcaxvevbr,82.24
xqjdcpaxpxttyhddzifb,85.399
vfjzmjpvcadgbjjsmtqq,96.682
aznyyicylswzvgrheeuk,86.267
jjnzlsttopopdycqhpps,6.504
lvmywbqixtvukcwnigfr,76.17
rcuzjclbblfrhvccwmai,96.396
plbanqxfoioevdvxvgmf,82.384
jmnfikmcyvxbzpjjwhoo,36.598
irwviutlvffedyvmzwip,59.965
wbrxmfsbmrfytaxcytfv,51.339
bnggvnzhvcuxytrhfyro,88.588
urqgdxfowwrfbatouyaj,64.132
lksxrihaqjuqlrhtjbxk,7.567
aketjteppsdjcaprkrwf,16.714
axpbuvmypxkfonksuxqx,17.987
awwapbpujmdvznejihsj,54.69
bsvzdvsdjbremljwqrlx,28.06
ormsspabgvukzcwwggtz,16.838
kjvodkszwqdtnzhnnrsz,51.378
qzmjekudlyixehxlsdnr,75.864
chnniawlriespvvfsoxq,46.089
rzjxzpdnrcynkxbqogds,0.519
voawayjzuecdnwobrtya,5.808
algtwfjvkadaatkuqctd,19.423
oixtqnxcoskodmebfjwy,52.353
ssbblxxgteswwpmowpod,25.361
cyngbbtkvxwaxdbvmgki,34.33
imgsmesxhgjsfyjiweei,51.418
bcyxpvcprxrcuitmhbsw,68.388
jlblxhyhtnkldvawckar,82.133
jkwpexzrjeyniybzocsq,78.227
yvgmfoourujpmnxkqeys,64.579
nhvocggjbxgdrbteoigq,56.849
zasnadlpufzzpdeobizz,74.667
mcvibsfpguivpfprptle,36.825
sguhchbpkwlnnohwjxnm,52.805
sbwwjpmubkqhqpoafshx,75.486
tgtynveayigoajdzmfig,69.892
dfqhvxznaouossgwamfe,35.576
uzaysevmljukbbgscjhc,67.539
cziegwdobpkcplmpuvqd,84.076
hsegufjaojlniluuxmzm,95.958
wbwrowfnhmzahnvzrlaj,89.175
qmkkgwglvjddopgkshdf,82.759
ebivqawcxnkgsbomnhhk,70.123
rnfqetjkqqpefhcymgao,45.893
hsxdnnhdisbvnwzibdvx,67.157
gudenephoblurfwrzmov,42.869
vugzbbobtqfwzxcdeusf,50.555
pookbrxfmadbsxqjgsga,36.104
dxwollkiplyzxhgwovkt,26.834
lzbikfumrwcaxjmcvryj,7.726
mzrdhysngkprodekfuuk,82.382
xgbghhhqucdiplblafgm,69.604
jchyrdwfshadrenvsedi,5.184
iqjimfsarwaqysgmvdkr,87.944
jydwxojhnhsxiqgkqgir,58.864
bpfvktijezonsuskvyrz,50.964
kknhzeqgdtdyeybrvbtu,53.619
gzilhqlvwnfvceyfnytp,5.306
rddpngqkxtoqpbjxmgut,61.687
mmpimhaecscamizfbjix,83.365
lgdqpnqgrpmoejrxicoh,20.247
dhhzsjgnloiryodemazh,79.535
rqsotncwypuhikscchdv,33.573
kimzyqtsgfpvypkhfqiu,33.873
ddzaypbbrokxjrgwchij,7.799
xtbzgtqwetatrvcqvlvs,53.953
gruqzucflvboyzuxxktm,28.194
depshzcmuovcxgiyswys,82.409
srdkgzngaattwkdrprdz,32.806
pxdyfwinrdvcovepbrjx,11.704
khocqmqwmkijqxbebjsy,40.158
kceaneieqkmwzcitccyx,51.777
blelhnppkfenmbszbpvg,63.105
bhjdxbnhssymiuenaguf,16.944
maznyjvsxzdheibxqesg,86.472
tifnkqoashdxwgowlvsx,30.811
mzroxmkmespjooczmeiy,48.649
azqellvaszwbeokzmgcv,12.815
duvnhhlaqgnzfkvyiswd,87.415
dmlzszrahakmivreptqx,92.45
fikoqyvnigedhxalrtcj,37.351
bivxaxwfbupxymzcwrne,92.906
lbxncntvlbwhkkkkxvgq,16.33
dnqjmqpjovfmzaowgpzc,28.031
mcgdhbxnooslyfmxpjpc,98.901
umgdhstpjbjgwfvtiduz,99.443
mneeugqyrtvfbxiiwakw,76.379
jwzebpfqgfjqharatldh,62.233
gzcffsdlqsyfoxktjilf,40.558
zcupttefhrvarpkmoiff,12.582
omcgaxqgsjwkdcrtrftn,89.333
nrbzkxngpcsinnidineo,68.551
mxjoswlibhmxicyzlfvx,16.23
odynlgyufxspslgvtgbi,44.473
efecousskmqgyrysccxj,63.065
zqsorrqyfajsghkmypav,48.411
udhvtfimluaiuajnqmno,5.246
kbwoojgbqlzwzkcsagfn,66.447
xtlnwcllvytbnjysxtsy,49.403
dorxxvfzddrfkeramkwp,85.358
jemxbzooktijiqmvrvzy,40.461
hypigmzsmtxikjlfcqbu,66.449
rfmmfkjnzmudlkhsbgaq,9.827
xxgjxqifqlwitjuqayfb,1.51
iieqeejncuboetadxiyd,9.517
qnpeqshynuvahjqxivct,11.5
knubnvgqqhugerkznkny,30.702
taixnbwdhpbswixlteot,17.602
ftyzkflzvmwcivktfpld,38.257
urzfprpcbkmrtxmzpqmx,21.605
rroymfqrkrxmngmdhnvd,94.477
jxxvuehklhftsvsossrx,11.624
lctxhocmkmfwfhmubfzd,46.445
iqpxtxrastkbvhyiqqoc,68.619
ojxarqhldtczztjbajov,23.596
fzvqpoxiycwxpkxlulul,0.621
cfpaegugvrkttpgfvymk,20.066
oylucquhfiovwraccqzp,71.451
hawurgmxcnbafjyzrjph,77.525
tkxachxgeiozelnvzlfl,20.155
dxliddfyivupbjxeoppc,62.065
odbhyrsgasvlrlhkglzj,42.58
lpcdhtnhslfqlklgkpun,34.571
qzjdkumlhhufosfwkwup,20.057
ixoirkmkksaqmienttev,47.179
pqqdeqvftizckqrlclka,12.772
gxeepcbjxejjehpqeonh,51.39
dvkcindrlptzltfmpphw,28.818
dortzmblkdoogxxihhys,5.443
accobhppuehhajfqvwbd,14.201
wqkwgpwkpozkxxsxrrgb,22.219
foyorkdqhexaeozohmbv,37.107
arczbpkcasqbgnqjsvwc,72.793
rhsohxenmkzcmuwemhgl,16.153
cahugajskldbvwziuvmr,35.257
jtbttcrcrrjzwpnsyump,62.61
uedcfwpqlrsdhmutlebi,12.228
gwneeuitammeucjrxwep,46.889
ixagapilmmfwkovknslh,13.153
kstcxepgvrolzndiipud,45.126
wzdfaogfyytcpymoiswe,45.275
iupovefbmbpthwagyfqj,17.024
fxzxsjuzpzoepjyueidx,18.612
xngttklppfqtvqjdgpts,46.154
vvqlejipmltjivuogicy,95.207
chfuwjimfienfjetdnrs,54.204
wntrapnvuimjeosogcgs,14.9
uyikhwiwqtdxnylrqlss,38.569
dikkukafrkxxdlwzwccz,70.975
zyyjaottrrocbrqpjcju,90.222
oozsnsbvicnfdagnjmmg,8.87
wzvrhtehfrmqxgysgqdi,89.118
gqsotlhhinkncrkhthob,55.17
jmufqovlehbasufphlky,25.106
lfcemsrxqdezcvallduh,82.13
gyhashxdwdmlcihwcujs,20.865
rgclnehykfjgqkxkpiha,40.43
vucunuolcxrgqeftclhm,9.231
etejjpxvtkwzdfveriwk,63.065
rbxhbsaayvjpzfdeeago,74.224
wsiprplswhatjxaspcpu,99.312
fuuctlnwicnczjzhbrfc,17.045
mppfxvlmfgqhbucndsxf,17.445
nrpccnjhjmudcvuivglf,72.954
uhtbsjftejvmkpreqllt,30.72
ymfficnwncsbdcwfdxfv,87.563
cdtxbfsxslyybuhekvoa,53.381
wjzpgdwmzfwgditjemso,53.712
apwfhbmxtvzjcmwudeuj,14.617
lvduhnpqzerbayygacjw,90.579
atptefdwkkmhvtxaatyk,95.217
ogtghpugftrgxxvlouck,77.474
cpfjhwqqehcgbxwptnkc,35.032
jaglorxejdsfsmbqzqly,53.686
dmofjtfzgqkttgtlnpsk,8.946
eknmarumiucsnbwqwwoh,91.137
qmioyxmxykzqcjacajbp,56.659
ttvmgahfvooydszfkpiu,41.595
eyeoorvquqpsdikxdvbk,99.508
ajjexauvfekkiopzhoet,49.398
xyyxbvzynlggtmxmmpch,86.415
hixbkjhdkovlrmlscdov,36.047
ylfyuouvpaldzycesyfm,10.313
zwecdpnlbcskinttwjvw,6.435
nresgkssrclasoslytfa,33.201
dgwasuhfnfxhneeibwrb,1.975
ymardjsostmriedafdkr,98.304
wvijgfuaibxrbyatgkdf,83.497
dmhcjvpxdfwekxhomyha,21.578
ctczjcuudwtwxjtrueov,50.108
bduudghivcmamirfjiyp,6.408
hdlkfpheivsysuxfvcrc,34.173
atnpnnvdqiysdskyejgd,5.694
xgkzvrzreskutndilkmb,14.94
bsbpualhtzcbpvudvedk,65.932
rlpjrzoyhmafjzekgssn,53.273
cinpdfedjgoswvewaxkg,83.703
mkgzolftslasvxymcyam,93.004
amgqbtbejvzvlsjpigpm,12.974
hggruwdgiqlzdkdyznzc,98.059
oclgcgmnmdbokekukfvv,37.489
raiqqoyomwwlcysghavg,59.725
jzvyuzrexupbdgfsfjgt,96.38
pjqfetymixuzfpjizima,74.947
lfyauaxwmdrqdrecxryh,58.514
xrbfedveaxccmgjqhvay,86.128
eikmqcvqidzvfbedwder,21.535
xembwmdkkgahxgrftgic,81.424
zcwaszrajxftzdhhhhwb,18.149
qovvyfnuojiczjbgugii,30.859
dadpybjjqsjviqhivopk,75.577
bclbzllvsbdczzhkyrtw,12.646
snzlzuedwfmlydpfnuxj,23.417
qbksydsztrbnwavmkxgn,42.588
pxswbttaqvbbncdolugx,82.214
ovpodbiqelgsrfkwvcjz,81.549
cvnrqvslrroapskfpacs,55.082
moepnpozieswkmwwzyez,95.224
gxsqddiilnaqzyyvsjrh,36.714
iugpgdykqlwnbhwuvuax,63.518
yawvaxfzftfzmtliucvh,67.972
qehywhgzllzpbftuwqax,61.211
cgvijywklrmrsdlwqpqy,11.5
wsumvjbtkhjabjyvrzzt,80.734
oyfrjdhkjhasttpbkaei,29.729
jncmjazwdkyzyypdygid,52.579
hcctowbywcxdkpmuakqt,72.985
lngvmqumjbxiihrognzp,84.355
nqetftzhqhkmqpiwijqk,85.9
heatggzdubdjwsvdtoli,80.677
qvxvyqfohtbsrumdkzum,92.753
wzcsytkewgwjrnrvueun,56.588
tukdakgidfjkfnfaikkv,30.865
qtjlqguqoahoufdecuuq,76.736
sinvnqwqwroqcypwgojy,43.08
clnfiocqqmiflvxfcnmw,58.369
hguusxgofobulbarvgpg,8.796
tmjzxlkwzcphcbzaxlki,29.723
jkreoitgvuendlhcjhar,43.84
dkglftqgcewzakfodbyv,24.848
ysmdxfmnqkqajutodkwp,55.884
ipbfhuxyspkkbowvzvnh,49.418
bbqcmzifvtvgmjqoyaxu,76.54
adcvsqcnykhhhzwytdtf,60.078
annjspknlkqrkrviwbou,3.07
kufhkvjerlmjhuooqeie,15.587
evbllewdznbmsmbrsivk,9.455
vulhbyyenclazpnpzuzn,7.462
qdshlefhxtvgkqmhfvlu,99.005
ittrzujthsugwxiqxmqy,13.152
fbnfixxyikdqajtmvnfj,48.237
ykysvcbenjzaunugjkhc,7.564
owesumzrbymmtqbcwslc,48.654
bhdnfekinapqrjbrstqh,55.105
rzuyggskcijlxfcwxgrf,83.254
wduxhlleshlkzehwthyw,29.883
sihbwmfyojjmjawwrjqb,69.782
hrgrmbjznvfqraworgpz,76.85
oegatasyxnekdtqumlsl,24.707
avdrntdwdxbswnzqpgax,70.363
sgysaivtmblyzdkfsycl,9.735
twxmeaksfmfyjyaorfyt,98.495
bkmdjhrnakipbgitseos,22.253
wgpxrmmqsjvhwjecmryv,99.851
hcshjfwfzqlunyhzjrpk,78.796
ryogdoyrgxgpdbkxooby,60.106
yedjjphrrwxrurmanmuu,56.417
dsqgyueakuiavugqalpa,33.191
gvhkndpohrcbbjwrxlla,39.352
retkxhrykonfebyfggjt,72.249
trqzeoufkfwamcbdagpd,32.95
xsvgewgccozcoslemews,90.925
xldtkwdvqnibpyotnihp,11.309
npefwrwplglnjwlozzbm,74.259
gndnpcyhvksxdqniscys,58.032
xmghzxchmjtcrhtphvsb,73.719
ctxhbnpiwzheuxuxgoil,31.957
lfiungjfzjwucrprsyxg,98.737
mspvxjjljdvckemqepqe,73.79
ptztrkowmrdglueimnfl,96.883
mgjbtnacipjmbhftwtdp,95.556
lixjodhxrwdxmcoqqtzj,87.558
fkurmsisrslyvpdlqkzg,72.672
vpeffytcmbcomsqttwxh,53.89
fhqbtizsjnrgzyeguofz,5.829
kaihfuyjbodylkbvgjlx,90.233
dalcfqugdzouauhtovri,59.754
abugcceempkuqfugxpod,87.338
wpidcjztdbpxuwmmjgoy,99.181
ounrooafzdmvxtywbzbk,95.336
uccrodclalgnkjmmyphv,96.588
avmoxhxaqdtpvzmxdkzp,92.637
dnulblsrznrkzamzarfz,69.563
ochladxpkkmuoapculfv,50.852
qeqffnzfhknhnxqtdeen,56.809
nrfhnlutebzgtquhkpkj,16.159
igahijcfwzkuuddpvhsg,26.603
vssulmpomrhpsogvqbty,64.82
fmtmwludzroydgjvgvnd,77.87
vnhzaayykvefcqzlhfbl,32.318
pbkzeeeoekslxwfyyjkq,61.472
qwvbtvngcjkxeuzwhlcu,86.314
ekkomzvoazdrgmgsuuwl,21.108
kcdgnaquysttbxrociyb,9.173
gleoekjqvaimbfbbykhm,38.375
prpnfulqhplrofzlgkpz,41.603
amvskzuixjiakmrneepa,51.835
eascptsunuwqndpkzrcm,63.024
wmdrgzqcatqdadyikkan,26.613
uujvozwrkuqnussnpdxw,39.835
iueswwghugepnoyzcccp,84.678
nqcmhvlakmomyafkmfvb,1.866
khykeifkcfytuvwgogsx,67.797
vkuyxxgqcqeitxmzrerj,14.583
ihwuzyzdwnrcvudynath,84.963
qzejinmsebnfpsvezits,4.774
kkvglbqdptmnshdcyneh,23.472
fadlwtkzyefizctiukpm,58.568
zeuvumdiorsvbcsledhs,65.235
nkntoogmllqxliflhelp,27.354
ogjcolvlnlgtjwiaesgi,82.915
urhhysytkbujcgtsakqa,67.973
fxnvywumbkqhgeeslhkm,18.258
fztwrcdqemqxtfyaanhy,79.933
teewguugnlybkspewsge,90.958
mkpywkqusiypcgzxwjir,25.673
vdcpwkyiniizvqyhesza,79.237
tcyeonlgmlzjtsjrteun,28.92
xwhpzsdegfookgufqfis,82.148
yvsseoxilsotsjhnnjve,49.197
aafcikjcmktjifpgrjey,30.277
ufeabkisijubqzfbbvug,54.394
xneknfbmtqqxausndvxw,93.992
lwdcvccqaajvgnoqsclk,7.6
mabtmkcxrlbzuqxahhsu,93.432
yvkwknmvequxagcuglqk,74.295
zybrhtkatrsednkoxouj,2.165
ueizejjlgedoeqgpowqb,57.467
smhehfrpswaqhtppvcna,6.473
vczccrtwiaenrqjscrhb,78.373
tmsosvhyxrmpanyzcjeb,27.82
xgrdpwsjypgcyapnznjs,18.406
pieiwbbmbblmhbxwltqf,88.185
kfirtpnthiqtutrfselr,96.958
rokogmijtoqntpmrxvow,53.612
vsopohjslloecrzgtuxd,1.049
jjqteixznuokbffwonuu,77.505
tdpgrunaybqfnbbuadiz,56.02
gkiaffcuxdbckprzolfd,93.865
ruldjhhmnjbegbiorixp,49.406
msqedudgvswyxhgibprb,24.307
ctzmdkoovlxyqmrqrcdo,50.169
vhxukwecsdqrecyqnoqf,92.722
sguvpleftcvanztimwkm,0.585
uzzmzgpbvslpbaabayzf,93.138
ouckxbenioogazatvipe,61.785
utydkqtuhaxitmzajneg,69.626
jtetwrxqhfrgjbimaika,53.506
ktdfvqvigukswimoevvb,84.695
aqrvkfhmzgrhbwptyshb,45.63
srhobfbcgqwysqvzpjyx,11.856
dawwtsekqvrlixqevstb,23.121
eslodtmmlqulkrkdeyke,29.734
flghifdzymbpkeykpirw,27.03
esaraalgfhzwnocuurmf,12.065
mjwpcxntxeammrgntgmq,28.523
llsddgivokkcwqybjszc,64.966
